Deployment,Instrument_SN,Sampling_Frequency,All_Variables,Observed_Variables,Observed_Readable,Coordinates,Total_Variables,Observed_Count,File_Size_MB,File_Path
STRATUS12,1876,30 min,"sea_water_temperature, sea_water_electrical_conductivity, sea_water_pressure, sea_water_practical_salinity, sea_water_absolute_salinity","sea_water_temperature, sea_water_electrical_conductivity, sea_water_practical_salinity, sea_water_absolute_salinity","Temperature, Conductivity, Salinity, Salinity",time,5,4,1.19,/Users/yugao/UOP/ORS-processing/data/processed/stratus12/v1/stratus12_1876_truncated.nc
STRATUS12,1879,30 min,"sea_water_temperature, sea_water_electrical_conductivity, sea_water_pressure, sea_water_practical_salinity, sea_water_absolute_salinity","sea_water_temperature, sea_water_electrical_conductivity, sea_water_practical_salinity, sea_water_absolute_salinity","Temperature, Conductivity, Salinity, Salinity",time,5,4,1.19,/Users/yugao/UOP/ORS-processing/data/processed/stratus12/v1/stratus12_1879_truncated.nc
STRATUS13,1873,30 min,"sea_water_temperature, sea_water_electrical_conductivity, sea_water_pressure, sea_water_practical_salinity, sea_water_absolute_salinity","sea_water_temperature, sea_water_electrical_conductivity, sea_water_practical_salinity, sea_water_absolute_salinity","Temperature, Conductivity, Salinity, Salinity",time,5,4,0.77,/Users/yugao/UOP/ORS-processing/data/processed/stratus13/v1/stratus13_1873_truncated.nc
STRATUS13,1875,30 min,"sea_water_temperature, sea_water_electrical_conductivity, sea_water_pressure, sea_water_practical_salinity, sea_water_absolute_salinity","sea_water_temperature, sea_water_electrical_conductivity, sea_water_practical_salinity, sea_water_absolute_salinity","Temperature, Conductivity, Salinity, Salinity",time,5,4,0.77,/Users/yugao/UOP/ORS-processing/data/processed/stratus13/v1/stratus13_1875_truncated.nc
STRATUS14,10600,5 min,"sea_water_temperature, sea_water_electrical_conductivity, sea_water_pressure, sea_water_practical_salinity, sea_water_absolute_salinity","sea_water_temperature, sea_water_electrical_conductivity, sea_water_pressure, sea_water_practical_salinity, sea_water_absolute_salinity","Temperature, Conductivity, Pressure, Salinity, Salinity",time,5,5,4.71,/Users/yugao/UOP/ORS-processing/data/processed/stratus14/v1/stratus14_10600_truncated.nc
STRATUS14,10601,5 min,"sea_water_temperature, sea_water_electrical_conductivity, sea_water_pressure, sea_water_practical_salinity, sea_water_absolute_salinity","sea_water_temperature, sea_water_electrical_conductivity, sea_water_pressure, sea_water_practical_salinity, sea_water_absolute_salinity","Temperature, Conductivity, Pressure, Salinity, Salinity",time,5,5,4.71,/Users/yugao/UOP/ORS-processing/data/processed/stratus14/v1/stratus14_10601_truncated.nc
STRATUS15,11394,5 min,"sea_water_temperature, sea_water_electrical_conductivity, sea_water_pressure, sea_water_practical_salinity, sea_water_absolute_salinity","sea_water_temperature, sea_water_electrical_conductivity, sea_water_pressure, sea_water_practical_salinity, sea_water_absolute_salinity","Temperature, Conductivity, Pressure, Salinity, Salinity",time,5,5,3.59,/Users/yugao/UOP/ORS-processing/data/processed/stratus15/v1/stratus15_11394_truncated.nc
STRATUS15,12257,5 min,"sea_water_temperature, sea_water_electrical_conductivity, sea_water_pressure, sea_water_practical_salinity, sea_water_absolute_salinity","sea_water_temperature, sea_water_electrical_conductivity, sea_water_practical_salinity, sea_water_absolute_salinity","Temperature, Conductivity, Salinity, Salinity",time,5,4,3.59,/Users/yugao/UOP/ORS-processing/data/processed/stratus15/v1/stratus15_12257_truncated.nc
STRATUS16,10600,5 min,"sea_water_temperature, sea_water_electrical_conductivity, sea_water_pressure, sea_water_practical_salinity, sea_water_absolute_salinity","sea_water_temperature, sea_water_electrical_conductivity, sea_water_pressure, sea_water_practical_salinity, sea_water_absolute_salinity","Temperature, Conductivity, Pressure, Salinity, Salinity",time,5,5,3.64,/Users/yugao/UOP/ORS-processing/data/processed/stratus16/v1/stratus16_10600_truncated.nc
STRATUS16,10601,5 min,"sea_water_temperature, sea_water_electrical_conductivity, sea_water_pressure, sea_water_practical_salinity, sea_water_absolute_salinity","sea_water_temperature, sea_water_electrical_conductivity, sea_water_pressure, sea_water_practical_salinity, sea_water_absolute_salinity","Temperature, Conductivity, Pressure, Salinity, Salinity",time,5,5,3.64,/Users/yugao/UOP/ORS-processing/data/processed/stratus16/v1/stratus16_10601_truncated.nc
STRATUS17,11394,5 min,"sea_water_temperature, sea_water_electrical_conductivity, sea_water_pressure, sea_water_practical_salinity, sea_water_absolute_salinity","sea_water_temperature, sea_water_electrical_conductivity, sea_water_practical_salinity, sea_water_absolute_salinity","Temperature, Conductivity, Salinity, Salinity",time,5,4,4.11,/Users/yugao/UOP/ORS-processing/data/processed/stratus17/v1/stratus17_11394_truncated.nc
STRATUS17,12257,5 min,"sea_water_temperature, sea_water_electrical_conductivity, sea_water_pressure, sea_water_practical_salinity, sea_water_absolute_salinity","sea_water_temperature, sea_water_electrical_conductivity, sea_water_practical_salinity, sea_water_absolute_salinity","Temperature, Conductivity, Salinity, Salinity",time,5,4,4.11,/Users/yugao/UOP/ORS-processing/data/processed/stratus17/v1/stratus17_12257_truncated.nc
STRATUS18,10600,5 min,"sea_water_temperature, sea_water_electrical_conductivity, sea_water_pressure, sea_water_practical_salinity, sea_water_absolute_salinity","sea_water_temperature, sea_water_electrical_conductivity, sea_water_pressure, sea_water_practical_salinity, sea_water_absolute_salinity","Temperature, Conductivity, Pressure, Salinity, Salinity",time,5,5,7.25,/Users/yugao/UOP/ORS-processing/data/processed/stratus18/v1/stratus18_10600_truncated.nc
STRATUS18,10601,5 min,"sea_water_temperature, sea_water_electrical_conductivity, sea_water_pressure, sea_water_practical_salinity, sea_water_absolute_salinity","sea_water_temperature, sea_water_electrical_conductivity, sea_water_pressure, sea_water_practical_salinity, sea_water_absolute_salinity","Temperature, Conductivity, Pressure, Salinity, Salinity",time,5,5,7.25,/Users/yugao/UOP/ORS-processing/data/processed/stratus18/v1/stratus18_10601_truncated.nc
STRATUS19,11379,5 min,"sea_water_temperature, sea_water_electrical_conductivity, sea_water_pressure, sea_water_practical_salinity, sea_water_absolute_salinity","sea_water_temperature, sea_water_electrical_conductivity, sea_water_pressure, sea_water_practical_salinity, sea_water_absolute_salinity","Temperature, Conductivity, Pressure, Salinity, Salinity",time,5,5,4.73,/Users/yugao/UOP/ORS-processing/data/processed/stratus19/v1/stratus19_11379_truncated.nc
STRATUS19,11394,5 min,"sea_water_temperature, sea_water_electrical_conductivity, sea_water_pressure, sea_water_practical_salinity, sea_water_absolute_salinity","sea_water_temperature, sea_water_electrical_conductivity, sea_water_pressure, sea_water_practical_salinity, sea_water_absolute_salinity","Temperature, Conductivity, Pressure, Salinity, Salinity",time,5,5,4.73,/Users/yugao/UOP/ORS-processing/data/processed/stratus19/v1/stratus19_11394_truncated.nc
STRATUS20,10600,5 min,"sea_water_temperature, sea_water_electrical_conductivity, sea_water_pressure, sea_water_practical_salinity, sea_water_absolute_salinity","sea_water_temperature, sea_water_electrical_conductivity, sea_water_pressure, sea_water_practical_salinity, sea_water_absolute_salinity","Temperature, Conductivity, Pressure, Salinity, Salinity",time,5,5,3.66,/Users/yugao/UOP/ORS-processing/data/processed/stratus20/v1/stratus20_10600_truncated.nc
STRATUS20,10601,5 min,"sea_water_temperature, sea_water_electrical_conductivity, sea_water_pressure, sea_water_practical_salinity, sea_water_absolute_salinity","sea_water_temperature, sea_water_electrical_conductivity, sea_water_pressure, sea_water_practical_salinity, sea_water_absolute_salinity","Temperature, Conductivity, Pressure, Salinity, Salinity",time,5,5,3.66,/Users/yugao/UOP/ORS-processing/data/processed/stratus20/v1/stratus20_10601_truncated.nc
STRATUS21,11379,5 min,"sea_water_temperature, sea_water_electrical_conductivity, sea_water_pressure, sea_water_practical_salinity, sea_water_absolute_salinity","sea_water_temperature, sea_water_electrical_conductivity, sea_water_pressure, sea_water_practical_salinity, sea_water_absolute_salinity","Temperature, Conductivity, Pressure, Salinity, Salinity",time,5,5,3.13,/Users/yugao/UOP/ORS-processing/data/processed/stratus21/v1/stratus21_11379_truncated.nc
STRATUS21,11394,5 min,"sea_water_temperature, sea_water_electrical_conductivity, sea_water_pressure, sea_water_practical_salinity, sea_water_absolute_salinity","sea_water_temperature, sea_water_electrical_conductivity, sea_water_pressure, sea_water_practical_salinity, sea_water_absolute_salinity","Temperature, Conductivity, Pressure, Salinity, Salinity",time,5,5,3.13,/Users/yugao/UOP/ORS-processing/data/processed/stratus21/v1/stratus21_11394_truncated.nc
STRATUS22,10600,5 min,"sea_water_temperature, sea_water_electrical_conductivity, sea_water_pressure, sea_water_practical_salinity, sea_water_absolute_salinity","sea_water_temperature, sea_water_electrical_conductivity, sea_water_pressure, sea_water_practical_salinity, sea_water_absolute_salinity","Temperature, Conductivity, Pressure, Salinity, Salinity",time,5,5,5.16,/Users/yugao/UOP/ORS-processing/data/processed/stratus22/v1/stratus22_10600_truncated.nc
STRATUS22,10601,5 min,"sea_water_temperature, sea_water_electrical_conductivity, sea_water_pressure, sea_water_practical_salinity, sea_water_absolute_salinity","sea_water_temperature, sea_water_electrical_conductivity, sea_water_pressure, sea_water_practical_salinity, sea_water_absolute_salinity","Temperature, Conductivity, Pressure, Salinity, Salinity",time,5,5,5.16,/Users/yugao/UOP/ORS-processing/data/processed/stratus22/v1/stratus22_10601_truncated.nc
